Date,Time,Heart rate (bpm),Tag
Feb 26,9:50 PM,91,Resting
Feb 26,6:10 PM,110,Resting
Feb 26,6:00 PM,100,General
Feb 26,4:10 PM,102,General
Feb 26,3:50 PM,98,Resting
Feb 26,3:40 PM,99,Resting
Feb 26,3:30 PM,99,Resting
Feb 26,3:20 PM,110,Resting
Feb 26,3:00 PM,103,Resting
Feb 26,2:50 PM,108,Resting
Feb 26,2:40 PM,115,Resting
Feb 26,2:30 PM,106,General
Feb 26,2:10 PM,105,Resting
Feb 26,2:00 PM,114,Resting
Feb 26,1:50 PM,114,Resting
Feb 26,1:40 PM,110,Resting
Feb 26,1:30 PM,111,Resting
Feb 26,1:20 PM,100,Resting
Feb 26,1:11 PM,100,General
Feb 26,1:00 PM,115,General
Feb 26,12:50 AM,83,Resting
Feb 26,12:40 AM,80,Resting
Feb 26,12:30 AM,79,Resting
Feb 26,12:20 AM,84,Resting
Feb 26,12:00 AM,93,General
Feb 25,10:20 PM,108,Resting
Feb 25,10:01 PM,112,General
Feb 25,9:40 PM,138,General
Feb 25,9:20 PM,104,General
Feb 25,9:10 PM,95,Resting
Feb 25,9:00 PM,88,Resting
Feb 25,8:50 PM,92,Resting
Feb 25,8:40 PM,91,Resting
Feb 25,8:30 PM,90,General
Feb 25,7:20 PM,93,General
Feb 25,7:00 PM,102,Resting
Feb 25,6:50 PM,98,Resting
Feb 25,1:00 AM,98,Resting
Feb 25,12:50 AM,87,Resting
Feb 25,12:40 AM,91,Resting
Feb 25,12:30 AM,90,Resting
Feb 25,12:20 AM,98,Resting
Feb 25,12:10 AM,106,Resting
Feb 25,12:00 AM,104,Resting
Feb 24,11:50 PM,100,Resting
Feb 24,11:40 PM,100,General
Feb 24,11:20 PM,108,General
Feb 24,10:10 PM,119,Resting
Feb 24,10:01 PM,107,Resting
Feb 24,9:50 PM,108,Resting
Feb 24,9:10 PM,88,Resting
Feb 24,8:40 PM,100,Resting
Feb 24,8:10 PM,106,Resting
Feb 24,7:10 PM,90,Resting
Feb 24,7:00 PM,86,Resting
Feb 24,6:50 PM,87,General
Feb 24,6:30 PM,84,Resting
Feb 24,6:00 PM,85,Resting
Feb 24,5:55 PM,84,General
Feb 24,5:50 PM,83,General
Feb 24,5:31 PM,98,General
Feb 24,5:20 PM,95,Resting
Feb 24,5:10 PM,92,Resting
Feb 24,5:00 PM,92,Resting
Feb 24,4:40 PM,105,Resting
Feb 24,4:30 PM,98,Resting
Feb 24,4:20 PM,105,Resting
Feb 24,4:10 PM,98,General
Feb 24,4:00 PM,89,Resting
Feb 24,3:50 PM,90,Resting
Feb 24,3:40 PM,94,Resting
Feb 24,3:30 PM,109,Resting
Feb 24,3:20 PM,107,Resting
Feb 24,3:10 PM,111,Resting
Feb 24,2:11 PM,106,General
Feb 24,1:30 PM,104,General
Feb 24,12:50 PM,101,Resting
Feb 24,12:40 PM,98,Resting
Feb 24,1:10 AM,90,Resting
Feb 24,1:00 AM,101,Resting
Feb 24,12:50 AM,99,Resting
Feb 24,12:40 AM,92,Resting
Feb 24,12:30 AM,94,Resting
Feb 24,12:20 AM,96,Resting
Feb 24,12:10 AM,93,Resting
Feb 24,12:00 AM,93,General
Feb 23,11:10 PM,105,Resting
Feb 23,10:11 PM,95,Resting
Feb 23,9:20 PM,94,Resting
Feb 23,7:50 PM,74,Resting
Feb 23,7:40 PM,80,Resting
Feb 23,7:20 PM,89,Resting
Feb 23,7:10 PM,86,Resting
Feb 23,6:50 PM,84,Resting
Feb 23,6:40 PM,83,Resting
Feb 23,6:30 PM,80,Resting
Feb 23,6:20 PM,87,Resting
Feb 23,6:00 PM,86,Resting
Feb 23,5:10 PM,92,Resting
Feb 23,4:40 PM,91,Resting
Feb 23,4:30 PM,94,Resting
Feb 23,4:20 PM,83,Resting
Feb 23,4:10 PM,72,General
Feb 23,3:50 PM,90,Resting
Feb 23,3:40 PM,76,General
Feb 23,3:30 PM,78,Resting
Feb 23,3:20 PM,80,Resting
Feb 23,3:00 PM,80,Resting
Feb 23,2:50 PM,87,Resting
Feb 23,2:30 PM,84,Resting
Feb 23,2:11 PM,90,Resting
Feb 23,2:00 PM,81,General
Feb 23,12:50 AM,79,Resting
Feb 23,12:40 AM,79,Resting
Feb 23,12:30 AM,85,Resting
Feb 23,12:20 AM,84,Resting
Feb 23,12:10 AM,78,Resting
Feb 23,12:00 AM,77,Resting
Feb 22,11:50 PM,90,Resting
Feb 22,11:40 PM,91,Resting
Feb 22,11:30 PM,87,Resting
